Designator,Mid X,Mid Y,Rotation,Layer
1K1,163.41,-71.02,180.0,top
C1,177.62,-60.86,0.0,top
C10,156.09,-50.575,270.0,top
C11,171.115,-70.14,180.0,top
C12,160.68,-69.29,180.0,top
C2,173.73,-57.95,90.0,top
C3,170.105,-64.85,90.0,top
C4,173.555,-61.84,180.0,top
C5,179.5,-96.7,90.0,top
C6,178.39,-96.58,90.0,top
C7,156.78,-92.15,0.0,top
C8,155.59,-88.36,270.0,top
C9,174.9,-52.97,90.0,top
D2,163.7825,-69.39,180.0,top
D3,161.24,-71.03,180.0,top
D4,156.7075,-86.88,0.0,top
D5,174.7375,-67.88,0.0,top
D6,171.115,-67.88,0.0,top
D7,165.9175,-55.78,180.0,top
D8,168.8,-55.82,0.0,top
J1,167.67,-49.93,180.0,top
J2,170.31,-77.86,180.0,bottom
J3,178.41,-72.73,180.0,bottom
J4,156.95,-72.73,180.0,bottom
R1,169.97,-57.19,270.0,top
R11,165.95,-71.02,0.0,top
R12,165.99,-69.45,180.0,top
R14,156.71,-85.92,0.0,top
R2,164.51,-56.56,270.0,top
R3,171.56,-58.01,270.0,top
R4,155.71,-90.52,90.0,top
R5,178.98,-52.67,180.0,top
R6,176.77,-52.78,180.0,top
R7,161.045,-52.13,0.0,top
R8,156.35,-97.64,180.0,top
R9,178.85,-92.17,270.0,top
SW1,177.07,-49.95,0.0,top
SW2,159.485,-49.85,180.0,top
U1,167.89,-91.29,180.0,top
U3,173.76,-64.78,180.0,top
U4,163.32,-65.31,270.0,top
Y1,156.57,-95.1,270.0,top
